city_name,number,lat,lon,temp,humidity,wind_speed,clouds
provideniya,1,64.42,-173.23,15,62,10,0
lebu,2,8.96,38.73,12,81,3.6,40
azad shahr,3,,,,,,
busselton,4,-33.64,115.35,16.63,48,5.37,5
hambantota,5,6.12,81.12,29,79,3.6,20
north bend,6,43.41,-124.22,18.23,88,1.5,40
rikitea,7,-23.12,-134.97,22.91,78,5.41,0
bilibino,8,68.06,166.44,8.01,58,9.29,41
severo-kurilsk,9,50.68,156.12,6.71,92,7.49,3
bogorodskoye,10,52.37,140.44,21.01,73,3.83,66
taolanaro,11,,,,,,
bandarbeyla,12,9.49,50.81,25.31,62,12.94,0
plettenberg bay,13,-34.05,23.37,10.71,74,1.45,0
iqaluit,14,63.75,-68.52,6.81,93,5.64,90
tarija,15,-21.53,-64.73,12,66,2.1,75
mogadishu,16,2.04,45.34,23.31,86,3.87,89
nanortalik,17,60.14,-45.24,4.21,97,0.52,100
samusu,18,,,,,,
belmonte,19,40.36,-7.35,18.16,88,0.75,57
puno,20,-15.84,-70.03,2.11,38,1.2,4
vaitupu,21,,,,,,
jamestown,22,-33.21,138.6,11.81,83,2.27,92
narsaq,23,60.91,-46.05,10,71,3.1,98
cape town,24,-33.93,18.42,9.25,100,2.1,0
katsuura,25,33.93,134.5,27.44,65,3.6,75
fare,26,-16.7,-151.02,25.01,78,7.25,0
stilling,27,56.06,9.99,13.09,93,3.1,100
stoyba,28,,,,,,
geraldton,29,49.72,-86.95,18,100,3.1,75
paamiut,30,61.99,-49.67,5.41,94,7.05,100
zhangye,31,38.94,100.46,25.51,25,3.45,91
miranorte,32,,,,,,
new norfolk,33,-42.78,147.06,13.57,47,6.2,75
torbay,34,47.66,-52.73,10.98,93,4.1,90
cidreira,35,-30.17,-50.22,8.81,84,2.58,62
kavieng,36,-2.57,150.8,27.41,73,1.91,2
lompoc,37,34.64,-120.46,19.79,52,5.1,0
lolua,38,,,,,,
vaini,39,15.34,74.49,22,94,2.1,40
poum,40,41.28,20.71,14,87,1.5,90
kamenskoye,41,,,,,,
kapaa,42,22.08,-159.32,27.94,70,6.2,20
beringovskiy,43,63.05,179.32,17.71,56,4.5,0
cockburn town,44,21.46,-71.14,28.11,79,8.82,0
marcona,45,,,,,,
bom jesus,46,-5.99,-35.58,24,83,1.5,75
chuy,47,-33.69,-53.46,8.11,89,3.4,6
spanish town,48,18,-76.95,29,62,5.1,20
guanica,49,17.97,-66.91,26.24,82,2.48,0
kahului,50,20.89,-156.47,27.75,52,11.8,20
fortuna,51,40.6,-124.16,17.92,82,4.6,75
omsukchan,52,62.53,155.8,13.31,72,3.02,99
mahebourg,53,-20.41,57.7,21.45,46,6.7,40
lorengau,54,-2.02,147.27,29.41,68,2.81,0
hithadhoo,55,-0.6,73.08,27.81,77,8.7,96
atuona,56,-9.8,-139.03,26.61,80,7.02,1
abonnema,57,4.71,6.79,23.11,95,2.12,100
attawapiskat,58,,,,,,
inderborskiy,59,,,,,,
coahuayana,60,18.62,-100.35,23.61,89,0.69,100
bredasdorp,61,-34.53,20.04,8.33,93,2.1,0
la ronge,62,55.1,-105.3,19,63,2.1,20
saint george,63,39.45,22.34,21.45,78,0.63,40
valleyview,64,55.07,-117.28,18.51,74,1.91,9
puerto narino,65,-3.77,-70.38,23,100,0.49,75
ballina,66,54.11,-9.15,13.77,92,5.15,1
amalapuram,67,16.58,82,33,66,3.1,20
college,68,64.86,-147.8,24.99,36,2.6,1
san patricio,69,-26.98,-56.83,10.31,91,1.82,0
shahreza,70,32.01,51.87,23.41,32,0.61,0
sur,71,22.57,59.53,32.51,45,4.13,11
ushuaia,72,-54.81,-68.31,3,86,3.6,40
suozhen,73,36.95,118.1,35.56,35,2.6,100
korla,74,,,,,,
pochutla,75,15.74,-96.47,28.1,78,1.68,75
druzhba,76,52.05,33.94,14.71,91,2.1,100
amderma,77,,,,,,
kimbe,78,-5.56,150.15,29.91,61,2.04,32
moranbah,79,-22,148.04,17.71,34,6.08,4
sitka,80,37.17,-99.65,26.11,71,1.34,0
castro,81,-42.48,-73.76,9,100,7.2,90
sentyabrskiy,82,,,,,,
luderitz,83,-26.65,15.16,8,100,1.5,0
kachikau,84,,,,,,
paysandu,85,-32.32,-58.08,7.22,90,1.43,0
la palma,86,5.36,-74.39,19.51,95,1.45,77
vestmannaeyjar,87,63.44,-20.27,11.81,96,8.14,100
tuatapere,88,-46.13,167.69,7.22,83,2.24,100
kruisfontein,89,-34,24.73,9.31,85,2.77,0
osorheiu,90,47.03,22.05,11.78,93,1.5,0
ixtapa,91,20.71,-105.21,28.26,79,2.6,90
puerto del rosario,92,28.5,-13.86,21,83,6.2,75
waitati,93,-45.75,170.57,8.89,63,3.13,62
maragogi,94,-9.01,-35.22,19.51,91,1.33,96
nemuro,95,43.32,145.57,17,88,1.5,75
trelew,96,-43.25,-65.31,9.71,39,5.3,100
markova,97,52.21,104.21,16.82,93,1,75
cap malheureux,98,-19.98,57.61,21.54,46,6.7,40
soyo,99,-6.13,12.37,21.91,92,1.46,82
yirol,100,,,,,,
port macquarie,101,-31.43,152.91,20.7,29,3.6,0
algiers,102,29.94,-90.04,27.44,94,1.5,1
potam,103,27.6,-110.38,35.94,44,3.1,5
toamasina,104,-18.17,49.38,19,93,3.6,75
amahai,105,-3.31,129,25.31,88,6.64,100
butaritari,106,3.07,172.79,28.61,75,6.8,98
puerto ayora,107,-0.74,-90.35,21.11,93,0.89,55
burgeo,108,47.61,-57.61,12.91,97,2.63,100
buin,109,-33.73,-70.74,10,53,1.5,0
ponta do sol,110,-20.63,-46,19.21,48,1.86,73
camacha,111,33.08,-16.33,21,73,5.1,75
antofagasta,112,-23.65,-70.4,13,71,2.1,90
birao,113,10.3,22.78,22.01,93,0.72,3
tiksi,114,71.64,128.87,9.31,53,7.58,88
lavrentiya,115,65.58,-170.99,20.01,50,3.02,95
san lawrenz,116,36.06,14.2,23.93,83,7.2,0
illoqqortoormiut,117,,,,,,
aksha,118,50.28,113.29,22.11,59,1.81,100
vaitape,119,-16.52,-151.75,25.21,77,7.28,0
lodwar,120,3.12,35.6,24.21,58,9.4,0
gat,121,14.69,-16.54,25,78,4.54,100
severnyy,122,,,,,,
saryg-sep,123,51.49,95.55,22.91,39,0.38,0
pisco,124,-13.71,-76.2,15.51,87,3.1,75
kolarovo,125,44.02,26.88,18.89,74,0.81,0
brae,126,60.4,-1.35,12,100,1,99
hami,127,42.84,93.51,29.11,21,3.48,100
ewo,128,-0.88,14.81,22.21,81,2.93,87
thompson,129,55.74,-97.86,15,93,1,90
east london,130,-33.02,27.91,11.01,94,1.9,0
safranbolu,131,41.25,32.69,11.91,89,1.5,0
arraial do cabo,132,-22.97,-42.02,22.01,86,4.46,50
mataura,133,-46.19,168.86,7.22,83,2.24,100
asau,134,,,,,,
punta arenas,135,-53.16,-70.91,3.95,86,7.7,75
aleppo,136,36.2,37.17,18.41,95,2.09,5
klaksvik,137,62.23,-6.59,11,100,4.1,90
ruatoria,138,,,,,,
rutana,139,-3.93,29.99,18.81,63,2.05,4
conceicao do araguaia,140,-8.26,-49.26,23.01,54,0.92,0
kiama,141,-34.67,150.86,18.38,42,8.7,0
solovetskiy,142,,,,,,
cremona,143,45.13,10.03,17.09,88,2.6,5
aykhal,144,65.95,111.51,24,31,5,0
mayumba,145,-3.44,10.65,21.41,95,1.17,83
yellowknife,146,62.45,-114.38,23.45,44,3.1,75
inuvik,147,68.36,-133.71,24,50,3.6,75
sataua,148,,,,,,
santa cruz,149,-6.22,-36.02,19.91,72,4.95,17
tsabong,150,-26.02,22.4,11.31,29,6.7,0
roebourne,151,-20.77,117.15,24.11,14,9.68,0
kupang,152,-10.16,123.6,26,61,3.6,75
preobrazheniye,153,42.9,133.91,18.01,86,1.27,100
dikson,154,73.51,80.55,0.81,98,7.41,100
mar del plata,155,-46.43,-67.52,7.21,68,8.13,100
fort morgan,156,40.25,-103.8,22.38,82,3.6,1
rosario,157,-34.31,-57.35,5,91,2.11,0
xghajra,158,,,,,,
chokurdakh,159,70.62,147.9,5.41,83,7.62,100
zemio,160,5.02,25.13,19.11,97,0.36,22
kalaleh,161,37.38,55.49,25,83,2.1,40
colac,162,-38.34,143.59,11.41,99,1.34,100
ulladulla,163,-35.36,150.48,17.49,42,8.7,0
port hardy,164,50.7,-127.42,20,64,4.6,75
kodiak,165,39.95,-94.76,23.71,83,1.5,1
tuy hoa,166,13.08,109.3,33.41,47,4.42,83
constitucion,167,23.99,-104.67,20.03,68,3.1,90
gorontalo,168,0.54,123.06,28.31,65,6,55
naze,169,5.43,7.07,22.11,96,0.99,96
nicoya,170,10.15,-85.45,22.85,94,1.5,75
vostok,171,46.45,135.83,24.11,56,2.16,71
caravelas,172,-17.73,-39.27,20.61,90,4.3,0
asfi,173,,,,,,
havre-saint-pierre,174,50.23,-63.6,14,100,1.5,75
bundibugyo,175,0.71,30.06,10.01,83,2.12,22
shimoda,176,34.7,138.93,20.51,94,6.2,75
puerto carreno,177,6.19,-67.49,25.01,88,1.09,96
norman wells,178,65.28,-126.83,23,46,1.5,90
ribeira grande,179,38.52,-28.7,20.41,69,2.97,0
airai,180,-8.93,125.41,29.01,53,0.97,7
leon,181,40.74,-93.75,24.12,78,2.1,1
dalbandin,182,28.9,64.41,29.11,43,1.86,0
grindavik,183,63.84,-22.43,13.05,93,3.1,75
quatre cocos,184,-20.21,57.76,21.49,46,6.7,40
fayaoue,185,-20.65,166.53,21.51,65,5.17,78
yar-sale,186,66.83,70.83,14.41,66,5.55,1
barbar,187,,,,,,
saint-philippe,188,45.36,-73.48,19.68,72,3.6,1
lucapa,189,-8.42,20.74,16.01,35,1.95,0
boa vista,190,2.82,-60.67,25,88,1.5,75
mingaora,191,34.78,72.36,22.31,74,1.22,26
upernavik,192,72.79,-56.15,8.61,66,1.53,42
albany,193,42.65,-73.75,17.47,64,2.1,75
mujiayingzi,194,42.12,118.78,27.91,39,3.51,100
qarqin,195,37.41,66.03,33.91,11,5.08,0
mantenopolis,196,-18.86,-41.12,19.11,58,0.58,0
faanui,197,-16.48,-151.75,25.21,77,7.28,0
dafeng,198,33.2,120.46,30.51,54,3.47,96
hilo,199,19.71,-155.08,27.34,58,3.1,40
provost,200,52.35,-110.26,16.21,87,1.43,9
turtkul,201,,,,,,
daru,202,-9.07,143.21,24.41,87,5.42,100
jiuquan,203,39.73,98.49,27.71,20,2.55,38
nome,204,30.04,-94.42,27.54,100,1.5,1
saldanha,205,41.42,-6.55,19.91,53,3.34,0
namibe,206,-15.19,12.15,19.41,74,3.27,0
kyzyl-mazhalyk,207,51.15,90.58,13.81,66,2.27,82
teknaf,208,20.86,92.31,29.31,80,3.98,57
parral,209,-36.14,-71.82,7,87,2.6,100
kavaratti,210,10.57,72.64,28.01,75,7.51,100
port alfred,211,-33.59,26.89,13.89,91,1.34,0
ust-kamchatsk,212,,,,,,
broome,213,52.47,1.45,9.1,100,1,51
grand-santi,214,4.27,-54.38,21.91,98,0.74,100
roma,215,41.89,12.48,19.44,77,1.5,40
bengkulu,216,,,,,,
kingaroy,217,-26.54,151.84,18.36,36,2.6,0
tasiilaq,218,65.61,-37.64,7,93,0.5,99
